Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
NVT-USD,0.028193697,2021/11/12,12:25 GMT,1.4077872E-5,0.028400145,0.028656026,0.028132722,110433,,,,,,,
XDN-USD,9.869443E-4,2021/11/12,12:26 GMT,-2.3150549E-4,0.001157649,0.0011897339,9.283148E-4,21544,,,,,,,
CMT1-USD,0.009867491,2021/11/12,12:26 GMT,-5.7391822E-5,0.010082444,0.010110743,0.009659958,1318226,,,,,,,
INSTAR-USD,0.04042412,2021/11/12,12:26 GMT,-0.0024197027,0.04111585,0.041612733,0.040192675,44793,,,,,,,
AEON-USD,0.51086307,2021/11/12,12:26 GMT,-0.005987704,0.5458553,0.5472186,0.5033341,15969,,,,,,,
IDNA-USD,0.16468191,2021/11/12,12:25 GMT,-0.009205952,0.16819932,0.17302018,0.16468191,212516,,,,,,,
BLOCK-USD,1.1476164,2021/11/12,12:26 GMT,-0.013538361,1.1549782,1.1582651,1.1342416,81989,,,,,,,
HTML-USD,1.812445E-4,2021/11/12,12:26 GMT,4.360394E-6,1.8254723E-4,1.875667E-4,1.7471431E-4,8844,,,,,,,
DNA1-USD,4.8630332E-4,2021/11/12,12:26 GMT,1.21018384E-4,4.949794E-4,4.9990846E-4,4.8265047E-4,375463,,,,,,,
LEDU-USD,0.04145773,2021/11/12,12:26 GMT,-0.018358327,0.06004122,0.061177146,0.019069126,104169,,,,,,,
ACT-USD,0.010085443,2021/11/12,12:25 GMT,-2.0986423E-5,0.010645195,0.011291266,0.009921102,1610117,,,,,,,
SCP-USD,0.260533,2021/11/12,12:25 GMT,-0.002514273,0.2620138,0.266668,0.25829852,6325,,,,,,,
UBQ-USD,0.23734803,2021/11/12,12:26 GMT,-0.0017303377,0.23132356,0.24297877,0.2250223,29765,,,,,,,
YOYOW-USD,0.02110904,2021/11/12,12:25 GMT,-0.0011753887,0.021945039,0.022637999,0.020368041,493197,,,,,,,
TRTL-USD,9.082992E-5,2021/11/12,12:24 GMT,-6.074115E-7,9.25469E-5,9.3827206E-5,8.960606E-5,267137,,,,,,,
MRX-USD,6.403085E-4,2021/11/12,12:26 GMT,8.3718274E-5,5.6700315E-4,6.538835E-4,5.662894E-4,3,,,,,,,
SCC3-USD,1.2407433,2021/11/12,12:25 GMT,0.0020008087,1.2521644,1.2889739,1.2098244,40022,,,,,,,
HPB-USD,0.15074407,2021/11/12,12:26 GMT,0.0028043538,0.15252891,0.15440236,0.14694892,684497,,,,,,,
RINGX-USD,0.037917215,2021/11/12,12:25 GMT,-0.0010591857,0.037747443,0.039195243,0.037652317,488534,,,,,,,
BHP-USD,0.5987679,2021/11/12,12:24 GMT,0.011292577,0.59526515,0.60380185,0.587129,2268905,,,,,,,
EMC2-USD,0.05505317,2021/11/12,12:26 GMT,0.005718097,0.052526493,0.05571262,0.050377812,91625,,,,,,,
PLC-USD,2.472722,2021/11/12,12:26 GMT,-0.18472528,2.5669758,2.5837276,2.4492514,130907,,,,,,,
NLG-USD,0.02198183,2021/11/12,12:26 GMT,0.0070514074,0.014846905,0.027718792,0.01471085,829305,,,,,,,
TRUE-USD,0.15935574,2021/11/12,12:26 GMT,-0.004692644,0.16375627,0.16375627,0.15811877,1527998,,,,,,,
LCC-USD,0.018422538,2021/11/12,12:26 GMT,2.1506473E-4,0.01903019,0.019339234,0.01781398,1597,,,,,,,
DMD-USD,3.8043737,2021/11/12,12:26 GMT,0.103890896,3.6862898,3.8272913,3.6125844,64132,,,,,,,
PI-USD,0.01732082,2021/11/12,12:25 GMT,-0.001906747,0.017234687,0.018033156,0.016514063,181981,,,,,,,
SALT-USD,0.19632849,2021/11/12,12:24 GMT,0.0016978383,0.19842607,0.20077801,0.19231933,36792,,,,,,,
FCT-USD,1.5922915,2021/11/12,12:25 GMT,-0.09083331,1.579033,1.6832573,1.553393,19892,,,,,,,
DCN-USD,2.8515022E-5,2021/11/12,12:24 GMT,6.314003E-7,2.928477E-5,2.9316407E-5,2.8032235E-5,491559,,,,,,,
PAY-USD,0.08085054,2021/11/12,12:26 GMT,-0.004638307,0.08273192,0.08364856,0.08018758,473976,,,,,,,
PZM-USD,0.0058025424,2021/11/12,12:26 GMT,-2.7225167E-4,0.0059290146,0.0060496987,0.0057941815,17850,,,,,,,
DTEP-USD,0.3157157,2021/11/12,12:26 GMT,0.0016838908,0.3197361,0.3230526,0.31312212,109380,,,,,,,
ADK-USD,0.7335337,2021/11/12,12:26 GMT,0.005425334,0.7939557,0.8042769,0.71982634,284545,,,,,,,
NXT-USD,0.018668143,2021/11/12,12:26 GMT,-0.001211876,0.019039359,0.019954856,0.018281803,323775,,,,,,,
FO-USD,0.017460926,2021/11/12,12:25 GMT,-5.668979E-4,0.017941525,0.017984672,0.017271347,812296,,,,,,,
PART-USD,1.6149217,2021/11/12,12:24 GMT,-0.041182756,1.6898032,1.7032622,1.5823514,6804,,,,,,,
QRL-USD,0.2561767,2021/11/12,12:26 GMT,-0.004697442,0.26325658,0.27945188,0.25110906,59746,,,,,,,
WABI-USD,0.20244548,2021/11/12,12:26 GMT,-0.005932063,0.20960633,0.21113433,0.19994465,2049389,,,,,,,
BIP-USD,0.0043555717,2021/11/12,12:24 GMT,-2.561286E-4,0.0042026895,0.0043669427,0.004138321,24941,,,,,,,
PAI-USD,0.014268691,2021/11/12,12:25 GMT,7.1464013E-4,0.014157085,0.014701678,0.013901838,521213,,,,,,,
MAN-USD,0.105873704,2021/11/12,12:26 GMT,-0.0065872,0.105516426,0.114421576,0.10339974,3662535,,,,,,,
XSN-USD,0.1970425,2021/11/12,12:26 GMT,-0.050837144,0.19958708,0.2074857,0.19639325,155401,,,,,,,
RSTR-USD,6.403085E-4,2021/11/12,12:26 GMT,-8.8402885E-6,6.4847356E-4,6.538835E-4,6.3552137E-4,0,,,,,,,
ETP-USD,0.30861437,2021/11/12,12:26 GMT,-0.0101358,0.31712207,0.32936108,0.30695853,601794,,,,,,,
BTC2-USD,1.3913815,2021/11/12,12:25 GMT,0.046410322,1.3834648,1.4163209,1.276347,1633,,,,,,,
NEBL-USD,1.3909949,2021/11/12,12:25 GMT,-0.015249729,1.3912829,1.4103336,1.3317974,573238,,,,,,,
AMB-USD,0.041618302,2021/11/12,12:25 GMT,6.407723E-4,0.040798306,0.042716265,0.039769247,721583,,,,,,,
QASH-USD,0.08193687,2021/11/12,12:26 GMT,-0.0013974085,0.08288848,0.08558385,0.08069406,524808,,,,,,,
MASS-USD,0.2964306,2021/11/12,12:26 GMT,-0.007715434,0.29869097,0.30105174,0.2958533,1482266,,,,,,,
HC-USD,0.6493874,2021/11/12,12:25 GMT,-0.0120027065,0.6547829,0.6639155,0.6375515,3187654,,,,,,,
OBSR-USD,0.007463855,2021/11/12,12:26 GMT,1.2015458E-5,0.0074029076,0.007815777,0.0072613694,1139662,,,,,,,
NAS-USD,0.50992644,2021/11/12,12:25 GMT,0.006239116,0.5255092,0.538779,0.50095487,6324836,,,,,,,
NMC-USD,2.0939188,2021/11/12,12:26 GMT,-0.014505386,2.1196346,2.1473615,2.086236,7288,,,,,,,
NAV-USD,0.43126515,2021/11/12,12:26 GMT,-0.002062589,0.446173,0.44886667,0.42196494,228342,,,,,,,
MHC-USD,0.0109361885,2021/11/12,12:25 GMT,4.8401766E-5,0.011813318,0.012123199,0.010856283,1441573,,,,,,,
CHI-USD,0.6801074,2021/11/12,12:26 GMT,0.019920707,0.6779134,0.68714136,0.64821595,198293,,,,,,,
WICC-USD,0.16041647,2021/11/12,12:26 GMT,-6.2663853E-4,0.16290876,0.16290876,0.15946016,3183780,,,,,,,
VAL1-USD,7.8045697,2021/11/12,12:25 GMT,-0.48681688,8.141807,8.390209,7.7294383,3914219,,,,,,,
FSN-USD,0.50526106,2021/11/12,12:25 GMT,-0.031126857,0.5330902,0.53739756,0.504681,3468960,,,,,,,
ZANO-USD,3.2948303,2021/11/12,12:26 GMT,-0.09087038,3.3868444,3.413258,3.233557,365083,,,,,,,
PPC-USD,1.3412114,2021/11/12,12:25 GMT,0.0047496557,1.3854582,1.4472842,1.2640805,519320,,,,,,,
KRT-USD,8.6111383E-4,2021/11/12,12:25 GMT,8.401851E-5,6.4847356E-4,8.739575E-4,6.4312015E-4,67714,,,,,,,
GRIN-USD,0.4264814,2021/11/12,12:26 GMT,0.001752615,0.42325085,0.43136695,0.41351825,3505911,,,,,,,
CTXC-USD,0.20270815,2021/11/12,12:26 GMT,-0.007614121,0.20895858,0.2091765,0.19954519,3997602,,,,,,,
LBC-USD,0.075324684,2021/11/12,12:25 GMT,0.024037577,0.059530266,0.07875212,0.05901235,2431885,,,,,,,
GAME-USD,0.22588979,2021/11/12,12:26 GMT,0.0052746534,0.22362517,0.23873474,0.22150493,829894,,,,,,,
VTC-USD,0.63166696,2021/11/12,12:25 GMT,-0.02054596,0.66756773,0.66756773,0.61926115,560130,,,,,,,
GBYTE-USD,51.868134,2021/11/12,12:26 GMT,7.363785,46.935474,52.18921,45.428974,30407,,,,,,,
CUT-USD,0.279057,2021/11/12,12:25 GMT,0.011187434,0.28636593,0.28875497,0.26351342,0,,,,,,,
PPT-USD,0.7959968,2021/11/12,12:26 GMT,-0.025272846,0.82670957,0.8399675,0.77732307,1369589,,,,,,,
SERO-USD,0.12907724,2021/11/12,12:25 GMT,-0.0036848187,0.13033602,0.13301936,0.12800261,1218955,,,,,,,
NXS-USD,0.6100353,2021/11/12,12:25 GMT,0.03484428,0.573213,0.6155778,0.56709087,1999981,,,,,,,
GO-USD,0.042491954,2021/11/12,12:25 GMT,-7.979125E-4,0.042573772,0.04362644,0.041598614,2369448,,,,,,,
MWC-USD,4.376886,2021/11/12,12:25 GMT,0.07709026,4.3273034,4.4264665,4.319793,109102,,,,,,,
XCP-USD,18.210945,2021/11/12,12:25 GMT,-0.4886551,18.396772,18.558523,14.858015,302519,,,,,,,
SRK-USD,0.0059378156,2021/11/12,12:25 GMT,3.702799E-5,0.006205981,0.006245828,0.005900299,912687,,,,,,,
PCX-USD,4.471483,2021/11/12,12:25 GMT,0.4262929,4.1629558,4.4831753,4.131301,3159161,,,,,,,
GXC-USD,0.6699751,2021/11/12,12:26 GMT,-0.0337286,0.70156676,0.70156676,0.66407275,7735796,,,,,,,
AXEL-USD,0.17905928,2021/11/12,12:25 GMT,-0.0098272115,0.1846494,0.18498535,0.17760842,215072,,,,,,,
CRU-USD,24.754951,2021/11/12,12:25 GMT,-0.47110558,25.699013,26.116407,24.592678,3169895,,,,,,,
VSYS-USD,0.021577215,2021/11/12,12:26 GMT,-7.563662E-4,0.02188625,0.022052754,0.021376308,4100962,,,,,,,
PIVX-USD,0.7831569,2021/11/12,12:25 GMT,-0.014255464,0.78877395,0.8196014,0.7818624,694660,,,,,,,
AE-USD,0.15372357,2021/11/12,12:26 GMT,-0.007227391,0.15955581,0.16714673,0.15248035,5736393,,,,,,,
MARO-USD,0.1076918,2021/11/12,12:25 GMT,-0.00464464,0.11024099,0.113065064,0.10623151,1931141,,,,,,,
SOLVE-USD,0.12556812,2021/11/12,12:26 GMT,-7.0384145E-4,0.12653334,0.13184349,0.12440285,5225909,,,,,,,
NULS-USD,0.5550713,2021/11/12,12:26 GMT,-0.020480514,0.57314986,0.57694525,0.5481079,8405852,,,,,,,
VITE-USD,0.12586795,2021/11/12,12:25 GMT,-0.008620158,0.13423781,0.13846663,0.12307998,12647044,,,,,,,
LOKI-USD,1.139241,2021/11/12,12:24 GMT,0.16079563,1.1810441,1.1839907,1.1254638,323335,,,,,,,
VERI-USD,30.11636,2021/11/12,12:25 GMT,1.1960545,29.712511,30.583834,28.0584,2743,,,,,,,
REV-USD,0.10485091,2021/11/12,12:24 GMT,-0.009905629,0.114189416,0.11437229,0.10410288,1800633,,,,,,,
APL-USD,0.0031866066,2021/11/12,12:25 GMT,-9.3286624E-5,0.0033654727,0.0033779724,0.003133173,6375909,,,,,,,
SBD-USD,7.13499,2021/11/12,12:25 GMT,-0.15812492,7.200217,7.244487,7.0941067,2532356,,,,,,,
BCN-USD,3.895537E-4,2021/11/12,12:26 GMT,-1.7912942E-5,4.00259E-4,4.063923E-4,3.8713426E-4,71980,,,,,,,
DGD-USD,880.63074,2021/11/12,12:26 GMT,-3.5586548,894.43195,907.9158,871.4678,37366,,,,,,,
FRONT-USD,1.0516742,2021/11/12,12:25 GMT,-0.040638685,1.0994129,1.0994129,1.0378989,11412617,,,,,,,
BEAM-USD,0.72193766,2021/11/12,12:26 GMT,0.015598714,0.7297333,0.75352126,0.7151951,8060129,,,,,,,
FIO-USD,0.2043031,2021/11/12,12:26 GMT,0.027206942,0.17772484,0.20572804,0.17580312,16734905,,,,,,,
PAC-USD,0.004771357,2021/11/12,12:26 GMT,-9.891018E-5,0.0049023246,0.0049106595,0.0047404156,238584,,,,,,,
WOZX-USD,0.47960317,2021/11/12,12:25 GMT,-0.011985868,0.49053267,0.49927065,0.47882223,989157,,,,,,,
DMCH-USD,0.3488836,2021/11/12,12:26 GMT,-2.8759241E-5,0.34896615,0.34939116,0.34824032,36499,,,,,,,
CET-USD,0.10687696,2021/11/12,12:25 GMT,-2.0183623E-5,0.10717136,0.11180474,0.10587831,1822421,,,,,,,
NIM-USD,0.008872053,2021/11/12,12:24 GMT,-1.11051835E-4,0.008920271,0.009029614,0.008788995,1121284,,,,,,,
BEPRO-USD,0.011281179,2021/11/12,12:25 GMT,-7.0058554E-4,0.012202703,0.012202703,0.01075858,3525480,,,,,,,
GRS-USD,0.96921337,2021/11/12,12:25 GMT,-0.041173697,0.9971396,1.003887,0.95360875,5342270,,,,,,,
WTC-USD,0.9792085,2021/11/12,12:25 GMT,-0.03239149,0.99583924,1.0086918,0.9574619,4799605,,,,,,,
BTM-USD,0.051751874,2021/11/12,12:25 GMT,-0.0016238131,0.0553304,0.05638287,0.049135648,14728931,,,,,,,
NRG-USD,1.8261714,2021/11/12,12:26 GMT,0.04782033,1.7800823,1.8492515,1.7554195,273196,,,,,,,
AION-USD,0.17299847,2021/11/12,12:26 GMT,-0.0020109117,0.17672533,0.17901257,0.1714927,5830918,,,,,,,
FIRO-USD,8.394333,2021/11/12,12:26 GMT,-0.20523643,8.424125,8.520341,8.285237,3836118,,,,,,,
GAS-USD,8.644776,2021/11/12,12:25 GMT,-0.17518234,8.801341,8.801341,8.571452,9747036,,,,,,,
RDD-USD,0.0026163163,2021/11/12,12:26 GMT,-3.4851325E-4,0.0026495764,0.0030147329,0.0025995914,207754,,,,,,,
XNC-USD,1.2240319,2021/11/12,12:24 GMT,-0.0046930313,1.2318293,1.2371206,1.216989,43809,,,,,,,
CUDOS-USD,0.047918074,2021/11/12,12:26 GMT,-0.0024187528,0.04633485,0.052460525,0.046108793,3110362,,,,,,,
TT-USD,0.012674641,2021/11/12,12:24 GMT,2.6398338E-5,0.012749457,0.012940001,0.012497385,15043203,,,,,,,
ADX-USD,0.7832463,2021/11/12,12:24 GMT,0.026076138,0.7885782,0.8062269,0.75877887,56369192,,,,,,,
ELA-USD,5.5166297,2021/11/12,12:26 GMT,0.110798836,5.802557,6.0628486,5.499617,2932833,,,,,,,
MONA-USD,1.6859769,2021/11/12,12:26 GMT,-0.093007565,1.7549746,1.7838497,1.6705371,4419314,,,,,,,
NYE-USD,15.753737,2021/11/12,12:26 GMT,-0.9304342,16.615044,16.773403,15.626649,2074438,,,,,,,
DNT-USD,0.18773486,2021/11/12,12:25 GMT,-0.0052806437,0.18714894,0.19200875,0.18361533,13035196,,,,,,,
ATRI-USD,0.14661339,2021/11/12,12:26 GMT,0.007622272,0.142846,0.15023762,0.14076203,3001154,,,,,,,
KMD-USD,1.0048943,2021/11/12,12:26 GMT,-0.0046132803,1.0223756,1.0437063,0.98723835,2861615,,,,,,,
IRIS-USD,0.120447926,2021/11/12,12:25 GMT,-0.006570153,0.12339459,0.12377485,0.11846041,5289983,,,,,,,
META-USD,0.11233745,2021/11/12,12:26 GMT,-0.0025477707,0.11478658,0.11521201,0.11225524,7743511,,,,,,,
AVA-USD,2.7527406,2021/11/12,12:25 GMT,-0.06679773,2.8024206,2.8656535,2.7282295,11757138,,,,,,,
CLV-USD,1.1967944,2021/11/12,12:26 GMT,-0.041830182,1.2839773,1.285455,1.1762629,34610744,,,,,,,
BTS-USD,0.052809216,2021/11/12,12:26 GMT,-0.0037711263,0.055155892,0.05845814,0.052124623,34663944,,,,,,,
DIVI-USD,0.06172837,2021/11/12,12:26 GMT,0.0029315054,0.061976623,0.062788226,0.059987564,542755,,,,,,,
HNS-USD,0.3793375,2021/11/12,12:26 GMT,-0.010066807,0.36449075,0.40243772,0.36115634,1298627,,,,,,,
RBTC-USD,64001.26,2021/11/12,12:26 GMT,-686.03906,64535.44,65247.324,63246.6,268550,,,,,,,
BAL-USD,24.22079,2021/11/12,12:25 GMT,-0.6753292,24.761456,25.116003,23.810177,42027248,,,,,,,
ABBC-USD,0.20358457,2021/11/12,12:25 GMT,-2.7653575E-4,0.20177887,0.20573719,0.20028435,56597816,,,,,,,
XHV-USD,12.153397,2021/11/12,12:25 GMT,-3.6155949,12.912338,14.02802,11.899619,6184619,,,,,,,
POA-USD,0.61268276,2021/11/12,12:26 GMT,0.44540107,0.6156125,0.61918646,0.59451216,39,,,,,,,
WAN-USD,0.9344964,2021/11/12,12:26 GMT,-0.032182157,0.96382004,0.96700865,0.92829144,3761171,,,,,,,
KIN-USD,1.13593036E-4,2021/11/12,12:25 GMT,-1.6239705E-5,1.21699086E-4,1.226856E-4,1.1140252E-4,7635135,,,,,,,
PHA-USD,0.71609634,2021/11/12,12:26 GMT,-0.027309418,0.74129415,0.7439519,0.7121222,17533830,,,,,,,
ANT-USD,5.074237,2021/11/12,12:25 GMT,0.004558563,5.012208,5.346773,4.983146,26320056,,,,,,,
MTL-USD,3.1938562,2021/11/12,12:24 GMT,-0.0277946,3.2656815,3.3268244,3.1418624,21221134,,,,,,,
MCO-USD,13.552041,2021/11/12,12:25 GMT,-2.2146854,14.749631,14.749631,12.594071,3015719,,,,,,,
TOMO-USD,2.5324013,2021/11/12,12:26 GMT,-0.014178753,2.524928,2.590302,2.457522,9359914,,,,,,,
MLN-USD,126.77145,2021/11/12,12:25 GMT,-4.3319626,130.99387,131.1944,125.54823,8268829,,,,,,,
STEEM-USD,0.59208,2021/11/12,12:26 GMT,-0.008955181,0.59978163,0.6009549,0.5874959,6111548,,,,,,,
FUN-USD,0.021107724,2021/11/12,12:24 GMT,7.6224096E-4,0.020585777,0.021782821,0.020410612,17088200,,,,,,,
MAID-USD,0.51378965,2021/11/12,12:26 GMT,-0.004106581,0.5179405,0.523665,0.5106272,834640,,,,,,,
ARK-USD,1.8302139,2021/11/12,12:26 GMT,-0.04521501,1.881758,1.881758,1.8141328,7089732,,,,,,,
MIR1-USD,3.220691,2021/11/12,12:26 GMT,-0.16227484,3.315368,3.3205771,3.1879706,25710866,,,,,,,
REP-USD,23.487843,2021/11/12,12:26 GMT,-0.669981,24.172705,24.225605,23.144098,34690872,,,,,,,
